SYMBOL,SERIES,SECURITY,HIGH/LOW
86GS2028,GS,GOI LOAN 8.6% 2028,H
AAATECH,BE,AAA TECHNOLOGIES LIMITED,H
AGUL,SM,A G UNIVERSAL LIMITED,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ARFIN,EQ,ARFIN INDIA LIMITED,H
ARSHIYA,BZ,ARSHIYA LIMITED,H
BGRENERGY,BE,BGR ENERGY SYSTEMS LTD,H
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,H
BULKCORP,SM,BULKCORP INTERNATIONAL L,H
CADSYS,SM,CADSYS (INDIA) LIMITED,H
CENTEXT,BE,CENTURY EXTRUSIONS LTD,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
CPS,SM,C P S SHAPERS LIMITED,H
CYBERPP,E1,CYBERMEDIA RS.5 PPD UP,H
DCMSRIND,BE,DCM SHRIRAM IND LTD,H
DHTL,ST,DOCMODE HEALTH TECH LTD,H
DRONE,SM,DRONE DESTINATION LIMITED,H
EPWINDIA,ST,EPW INDIA LIMITED,H
EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FELDVR,BZ,FUTURE ENTERPRISES LTD,H
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,H
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,H
GURUNANAK,SM,GURUNANAK AGRICULTUR IN L,H
ICDSLTD,EQ,ICDS LTD,H
ICIL,EQ,INDO COUNT INDUSTRIES LTD,H
INFOMEDIA,EQ,INFOMEDIA PRESS LIMITED,H
ISHAN,SM,ISHAN INTERNATIONAL LTD,H
KESORAMIND,BE,KESORAM INDUSTRIES LTD,H
KONSTELEC,SM,KONSTELEC ENGINEERS LTD,H
LCCINFOTEC,BE,LCC INFOTECH LTD,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MANAKALUCO,BE,MANAK ALUMINIUM CO. LTD.,H
MANAV,ST,MANAV INFRA PROJECTS LTD,H
MANGALAM,EQ,MANGALAM DRUG & CHEM LTD,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MCL,EQ,MADHAV COPPER LIMITED,H
MIEL,SM,MANGLAM INFRA & ENG LTD,H
MTEDUCARE,BE,MT EDUCARE LTD,H
MVKAGRO,ST,M.V.K. AGRO FOOD PROD LTD,H
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,H
NEUEON,BE,NEUEON CORPORATION LTD,H
NIBL,EQ,NRB INDUS. BEARINGS LTD.,H
NORBTEAEXP,BE,NORBEN TEA &EXPORTS LTD,H
ORIENTCER,EQ,ORIENT CERATECH LIMITED,H
ORIENTTECH,EQ,ORIENT TECHNOLOGIES LTD,H
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,H
PERFECT,SZ,PERFECT INFRAENGINEER LTD,H
POLYSIL,ST,POLYSIL IRRIGATION SYST L,H
PREMIER,BE,PREMIER LIMITED,H
PVP,BE,PVP VENTURES LIMITED,H
S&SPOWER,EQ,S&S POWER SWITCHGEARS LTD,H
SACHEEROME,ST,SACHEEROME LIMITED,H
SAIFL,SM,SAMEERA AGRO AND INFRA L,H
SANCO,BZ,SANCO INDUSTRIES LIMITED,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SATECH,ST,S A TECH SOFTWARE INDIA L,H
SECURKLOUD,BE,SECUREKLOUD TECH LIMITED,H
SEMAC,EQ,SEMAC CONSTRUCTION LTD,H
SHREERAMA,EQ,SHREE RAMA MULTI TECH LTD,H
SHYAMDHANI,ST,SHYAM DHANI INDUSTRIES L,H
SIDDHIKA,SM,SIDDHIKA COATINGS LIMITED,H
SILKFLEX,SM,SILKFLEX POLYMERS INDIA L,H
SIMBHALS,BZ,SIMBHAOLI SUGARS LTD.,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SOMATEX,BE,SOMA TEXTILEI NDUSTRIES L,H
SOTAC,SM,SOTAC PHARMACEUTICALS LTD,H
SPCENET,BE,SPACENET ENTERS IND LTD,H
SPCL,SM,SHIVALIC POWER CONTROL L,H
STALLION,BE,STALLION IND FLUOROCHEM L,H
SUNLITE,ST,SUNLITE RECYCLING IND LTD,H
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,H
TAURIAN,ST,TAURIAN MPS LIMITED,H
TCIFINANCE,BE,TCIFINANCELTD-ROLL SETT,H
TECILCHEM,EQ,TECIL CHEMICALS,H
THESL,SM,THINKING HATS ENTER SOL L,H
TRANSWIND,ST,TRANSWIND INFRA LIMITED,H
VCL,BE,VAXTEX COTFAB LIMITED,H
VIJIFIN,EQ,VIJI FINANCE LIMITED,H
VISASTEEL,BE,VISA STEEL LIMITED,H
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,H
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,L
ABAN,BE,ABAN OFFSHORE LTD.,L
AMJUMBO,SM,A AND M JUMBO BAGS LTD,L
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,L
ARVEE,BE,ARVEE LABORATORIES I LTD,L
AURIGROW,BE,AURI GROW INDIA LIMITED,L
BAFNAPH,BE,BAFNA PHARMACEUTICALS LTD,L
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,L
BLUECOAST,BE,BLUE COAST HOTELS LIMITED,L
CONTI,SM,CONTINENTAL SEED CHEM LTD,L
DESTINY,SM,DESTINY LOGISTICS & I LTD,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
DYNAMIC,SM,DYNAMIC SRVCS & SEC LTD,L
ESCONET,SM,ESCONET TECHNOLOGIES LTD,L
ESFL,SM,ESSEN SPECIALITY FILMS L,L
EXCEL,EQ,EXCEL REALTY N INFRA LTD,L
EXIMROUTES,ST,EXIM ROUTES LIMITED,L
FLEXITUFF,EQ,FLEXITUFF VENTURES INT L,L
GANESHIN,SM,GANESH INFRAWORLD LIMITED,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HOMESFY,SM,HOMESFY REALTY LIMITED,L
HRHNEXT,SM,HRH NEXT SERVICES LIMITED,L
IBLFL,SM,IBL FINANCE LIMITED,L
INDOTHAI,EQ,INDO THAI SEC LTD,L
JETFREIGHT,BE,JET FREIGHT LOGISTICS LTD,L
JFLLIFE,SM,JFL LIFE SCIENCES LIMITED,L
KAVDEFENCE,BE,KAVVERI DFS & WIR TEC LTD,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,L
MARC,ST,MARC TECHNOCRATS LIMITED,L
MARINETRAN,ST,MARINETRANS INDIA LIMITED,L
MCON,ST,MCON RASAYAN INDIA LTD,L
MEP,BZ,MEP INFRA. DEVELOPERS LTD,L
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,L
MODIRUBBER,EQ,MODI RUBBER LTD,L
NEPHROCARE,ST,NEPHRO CARE INDIA LIMITED,L
NRVANDANA,ST,N R VANDANA TEX IND LTD,L
OSWALSEEDS,EQ,SHREEOSWAL S AND CHE LTD,L
POLYSIL,ST,POLYSIL IRRIGATION SYST L,L
PRAKASHSTL,EQ,PRAKASH STEELAGE LTD,L
QVCEL,SM,QVC EXPORTS LIMITED,L
RAJESHEXPO,BZ,RAJESH EXPORTS LTD,L
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,L
SADBHAV,BE,SADBHAV ENGINEERING LTD,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SHRIKANHA,SM,SHRI KANHA STAINLESS LTD,L
SHUBHLAXMI,ST,SHUBHLAXMI JEWEL ART LTD,L
SICALLOG,BE,SICAL LOGISTICS LIMITED,L
SITINET,BZ,SITI NETWORKS LIMITED,L
SOCL,ST,SUNDREX OIL COMPANY LTD,L
SPECTSTM,SM,SPECTRUM TALENT MGMT LTD,L
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,L
SVPGLOB,BE,SVP GLOBAL TEXTILES LTD,L
SYNOPTICS,SM,SYNOPTICS TECHNOLOGIES L,L
SYSTANGO,ST,SYSTANGO TECHNOLOGIES LTD,L
TANKUP,ST,TANKUP ENGINEERS LIMITED,L
TEMBO,EQ,TEMBO GLOBAL IND LTD,L
THESL,SM,THINKING HATS ENTER SOL L,L
TIMESCAN,SM,TIMESCAN LOGISTICS IND L,L
TPHQ,EQ,TEAMO PRODUCTIONS HQ LTD,L
TVVISION,BE,TV VISION LIMITED,L
URAVIDEF,EQ,URAVI DEFENCE &TECH LTD,L
VCL,BE,VAXTEX COTFAB LIMITED,L
VIVIMEDLAB,EQ,VIVIMED LABS LIMITED,L
VOLERCAR,ST,VOLER CAR LIMITED,L
WINSOME,BZ,WINSOME YARNS LIMITED,L
