MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AJ,990SCFL26,SEC RE NCD SR.VI,      1289.50,      1294.97,      1294.97,      1294.97,      1294.97,                     7769.82,6, ,1,      1294.97,      1060.00
N,AK,965SCL28,SEC RE NCD 9.65% SR.VII,       612.20,       634.80,       634.80,       612.20,       625.00,                   132305.40,210, ,4,       685.00,       500.00
N,AL,1015SCL28A,SEC RE NCD 10.15% SR.VII,       699.60,       705.00,       705.00,       705.00,       705.00,                    35250.00,50, ,1,       970.00,       699.60
N,AX,948SCL26I,SEC RE NCD 9.48% SR V,       377.00,       316.00,       316.00,       316.00,       316.00,                     9796.00,31, ,1,      2080.00,       309.25
N,N0,1075WCA28,WCAPL 10.75% 2028,      9800.00,      9700.00,      9700.00,      9700.00,      9700.00,                     9700.00,1, ,1,      9800.00,      9256.73
N,N0,111ESFB31,ESFB 11.1% 2031 SR 1,     98999.00,     98500.00,     98500.00,     97500.00,     97625.00,                  1964250.00,20, ,9,    100700.00,     97500.00
N,N0,115VCCL28,VCCL 11.5% 2028 SR C,    100189.04,    100283.56,    100283.56,    100283.56,    100283.56,                  4412476.64,44, ,6,    100283.56,    100063.61
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,     99838.36,    102000.00,    102000.00,    102000.00,    102000.00,                   714000.00,7, ,3,    102000.00,     99515.07
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9801.00,      9801.00,      9801.00,      9801.00,      9801.00,                   166617.00,17, ,3,     10000.00,      9301.00
N,N0,12AFIL27A,AFIL 12% 2027,      9804.00,      9754.98,      9754.98,      9750.00,      9750.00,                   204799.80,21, ,3,     10041.17,      8958.13
N,N0,12AFIL28,AFIL 12% 2028,      9801.00,      9801.00,      9822.00,      9801.00,      9813.60,                   245340.00,25, ,2,      9900.00,      9400.00
