MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       111.16,       111.19,       111.84,       111.18,       111.19,                   428075.60,3850,11,       113.03,       103.71,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        60.90,        61.50,        61.50,        61.00,        61.29,                  3186823.24,51972,262,        62.34,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.00,      1000.01,       999.99,      1000.00,                  8014054.25,8014,67,      1030.00,       999.99,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        72.93,        72.78,        73.65,        72.71,        73.52,                  1221695.91,16666,237,        75.45,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.19,        10.44,        10.44,        10.21,        10.41,                 12690994.65,1228314,945,        10.90,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        48.20,        46.99,        48.64,        46.99,        48.45,                 37963671.14,782717,2843,        55.67,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        25.06,        25.68,        25.68,        25.13,        25.31,                 12865507.68,508566,939,        27.15,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.94,        28.63,        28.63,        27.92,        28.03,                 31509362.25,1123880,1262,        29.69,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        12.51,        12.67,        12.69,        12.46,        12.61,                 19008601.92,1510902,2913,        13.50,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1040.99,      1041.44,      1041.44,      1041.42,      1041.43,                 57944455.67,55639,397,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.70,        11.02,        11.02,        10.68,        10.77,                  2996009.84,278376,1659,        12.00,         9.47,NIFTY 50 INDEX
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,         9.64,         9.69,         9.77,         9.60,         9.70,                   377683.35,39006,185,        10.50,         9.51,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        12.06,        12.36,        12.36,        11.70,        12.14,                  6487557.81,534921,2691,        12.49,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       292.80,       294.00,       297.00,       293.00,       296.09,                334323101.63,1130454,5794,       297.00,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        29.29,        29.65,        29.70,        29.29,        29.65,                 33670629.94,1137447,3152,        29.70,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       613.10,       614.00,       618.74,       614.00,       617.08,                   505121.03,819,50,       623.45,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.12,        13.44,        13.44,        13.05,        13.12,                  2417829.14,184418,435,        14.50,        12.00,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       126.49,       124.90,       127.14,       124.90,       125.76,                  1711089.28,13575,66,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       111.43,       113.63,       113.63,       111.48,       112.90,                193436541.04,1721212,4114,       117.50,        64.06,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       148.77,       148.77,       149.70,       148.03,       149.29,                   464456.16,3113,69,       156.13,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       225.11,       225.66,       232.90,       218.30,       230.91,                286936957.85,1248058,7144,       247.38,        85.51,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       286.71,       289.49,       289.49,       286.84,       288.97,                 12823202.45,44435,183,       296.36,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       416.47,       415.48,       418.29,       415.29,       418.03,                  2738736.68,6585,91,       475.80,       341.00,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        31.69,        32.08,        32.32,        31.41,        32.28,                  2186591.71,68142,254,        32.32,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        87.80,        87.60,        88.29,        87.60,        88.09,                    96192.00,1092,44,        91.35,        74.00,AXIS S&P BSE SENSEX ETF
N,EQ,BANKADD,DSPAMC - DSPBANK,        60.81,        61.06,        61.39,        61.06,        61.24,                  3402904.65,55516,83,        61.84,        46.50,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       615.29,       617.99,       621.39,       615.28,       619.91,                545187927.75,879504,8743,       624.70,       490.00,NIFTY BANK
N,EQ,BANKBETA,UTIAMC-BANKBETA,        61.49,        61.69,        62.01,        61.46,        61.82,                  2165617.14,35001,388,        63.10,        48.71,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        60.35,        60.40,        60.94,        60.40,        60.81,                   805087.20,13247,238,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       605.39,       607.12,       611.15,       607.12,       609.61,                  4445946.56,7287,134,       611.15,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        61.00,        61.22,        61.59,        61.12,        61.44,                 24124439.88,392617,1186,        62.88,        47.53,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       617.60,       619.00,       622.65,       618.55,       621.69,                 11798029.73,19009,465,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        85.97,        86.49,        87.77,        86.20,        87.50,                  3809817.55,43933,135,        88.74,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1313.83,      1310.49,      1315.51,      1310.49,      1314.86,                  4363215.42,3319,55,      1323.24,      1211.58,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        60.00,        61.20,        61.20,        60.14,        60.33,                    58507.66,971,41,        62.00,        47.43,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       129.45,       129.45,       131.95,       129.45,       130.85,                 11026243.95,84260,159,       140.00,        73.55,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        28.59,        28.84,        28.89,        28.55,        28.80,                  5309692.78,184599,745,        29.38,        22.30,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        40.39,        40.40,        40.68,        40.19,        40.62,                  4914600.07,121049,954,        41.51,        33.00,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       117.53,       118.36,       118.87,       117.70,       118.84,                 56105180.75,472868,1341,       125.99,        66.45,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        30.38,        29.62,        31.13,        29.62,        30.60,                 20788382.57,681202,4060,        31.18,        20.37,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        85.33,        84.31,        86.70,        84.31,        85.62,                  1869714.35,21842,136,        87.82,        61.64,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1043.55,      1043.98,      1044.00,      1043.98,      1043.99,                113013898.45,108251,48,      1064.57,      1001.47,BSE LIQUID RATE INDEX
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        29.02,        29.74,        29.74,        28.92,        29.13,                  5220985.77,179553,785,        30.00,        27.65,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       132.47,       132.40,       134.12,       132.00,       134.05,                  4742702.47,35524,557,       138.67,       120.00,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        97.39,        97.47,        99.20,        97.47,        98.98,                 22859740.93,232362,1230,        99.20,        75.61,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       125.31,       125.20,       126.40,       125.12,       126.03,                   947150.32,7531,53,       132.00,       102.46,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       135.89,       137.10,       137.10,       135.51,       136.25,                 17520879.99,128791,1297,       144.38,       110.86,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        11.93,        11.95,        12.04,        11.93,        12.03,                  1144942.95,95377,356,        13.97,         9.00,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       126.60,       126.28,       127.00,       126.01,       126.75,                  2805596.79,22178,476,       133.81,       101.23,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        91.94,        94.23,        94.90,        91.00,        94.73,                569336710.31,6069641,13559,        96.16,        74.90,CPSE ETF
N,EQ,DIVIDEND,MIRAEAMC - DIVIDEND,        36.47,        36.60,        37.01,        36.58,        37.01,                   155603.59,4225,53,        37.01,        35.31,BSE 500 DIVIDEND LEADERS
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        83.34,        84.64,        84.64,        82.10,        83.79,                  5798077.59,69359,1117,        85.74,        68.30,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        59.90,        61.10,        61.10,        60.16,        60.60,                   119194.06,1968,35,        62.10,        47.00,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1564.32,      1568.39,      1568.39,      1561.27,      1563.19,                 33235429.09,21263,733,      1608.27,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1396.59,      1399.86,      1399.86,      1395.96,      1398.58,                 17682921.76,12644,152,      1410.12,      1284.56,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1274.25,      1274.26,      1276.58,      1273.02,      1276.46,                 12345701.32,9674,110,      1305.17,      1178.70,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        24.04,        24.47,        24.47,        23.65,        24.25,                   781972.47,32347,351,        26.77,        17.13,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       133.55,       134.95,       135.00,       134.00,       134.90,                  4844349.80,36005,442,       161.30,        77.00,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1012.68,      1013.07,      1013.09,      1013.07,      1013.08,                  5769493.69,5695,72,      1026.47,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.87,        16.92,        17.07,        16.85,        17.05,                  2305451.75,135628,126,        19.20,        15.89,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        41.38,        41.39,        42.00,        41.28,        41.67,                  4063544.13,97647,426,        48.00,        34.71,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        35.55,        35.62,        36.39,        35.59,        36.33,                 82458448.52,2292566,617,        40.00,        34.03,NIFTY ENERGY
N,EQ,ENIFTY,EDELAMC - ENIFTY,        26.09,        26.20,        26.25,        26.16,        26.24,                    99506.93,3794,22,        27.22,        25.65,NIFTY 50 TRI
