GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,COAL INDIA LTD,       427.90,       400.45,6.85
G,NTPC LTD,       352.10,       336.30,4.70
G,HINDALCO  INDUSTRIES  LTD,       925.70,       894.95,3.44
G,TRENT LTD,      4409.60,      4297.40,2.61
G,JIO FIN SERVICES LTD,       301.70,       295.70,2.03
G,BAJAJ FINANCE LIMITED,       990.45,       973.10,1.78
G,POWER GRID CORP. LTD.,       270.95,       266.80,1.56
G,MARUTI SUZUKI INDIA LTD.,     16960.00,     16708.00,1.51
G,OIL AND NATURAL GAS CORP.,       241.46,       237.94,1.48
G,STATE BANK OF INDIA,       998.95,       984.75,1.44
G,BHARAT ELECTRONICS LTD,       403.15,       397.70,1.37
G,SBI LIFE INSURANCE CO LTD,      2067.40,      2040.40,1.32
G,ICICI BANK LTD.,      1355.40,      1338.00,1.30
G,MAX HEALTHCARE INS LTD,      1062.60,      1049.40,1.26
G,MAHINDRA & MAHINDRA LTD,      3802.40,      3761.00,1.10
G,HINDUSTAN UNILEVER LTD.,      2348.00,      2323.00,1.08
G,RELIANCE INDUSTRIES LTD,      1592.30,      1575.60,1.06
G,HDFC BANK LTD,      1001.60,       991.15,1.05
G,ADANI ENTERPRISES LIMITED,      2279.80,      2260.00,0.88
G,JSW STEEL LIMITED,      1180.70,      1171.50,0.79
G,TATA MOTORS PASS VEH LTD,       370.35,       367.55,0.76
G,ASIAN PAINTS LIMITED,      2772.60,      2752.00,0.75
G,TATA CONSULTANCY SERV LT,      3250.70,      3227.40,0.72
G,CIPLA LTD,      1511.60,      1500.90,0.71
G,INFOSYS LIMITED,      1640.40,      1629.80,0.65
G,HDFC LIFE INS CO LTD,       754.85,       750.10,0.63
G,WIPRO LTD,       269.00,       267.35,0.62
G,ADANI PORT & SEZ LTD,      1489.50,      1481.10,0.57
G,LARSEN & TOUBRO LTD.,      4163.40,      4140.40,0.56
G,TATA STEEL LIMITED,       182.88,       181.89,0.54
G,SUN PHARMACEUTICAL IND L,      1728.00,      1721.10,0.40
G,HCL TECHNOLOGIES LTD,      1640.20,      1634.50,0.35
G,TECH MAHINDRA LIMITED,      1612.00,      1607.70,0.27
G,APOLLO HOSPITALS ENTER. L,      7129.50,      7111.50,0.25
G,DR. REDDY S LABORATORIES,      1256.10,      1253.40,0.22
G,GRASIM INDUSTRIES LTD,      2856.40,      2851.70,0.16
G,ETERNAL LIMITED,       284.15,       283.80,0.12
G,BAJAJ FINSERV LTD.,      2038.40,      2037.00,0.07
G,TITAN COMPANY LIMITED,      4051.70,      4049.30,0.06
 , , , , 
L,ITC LTD,       350.05,       363.85,-3.79
L,NESTLE INDIA LIMITED,      1279.70,      1295.00,-1.18
L,KOTAK MAHINDRA BANK LTD,      2195.10,      2217.80,-1.02
L,SHRIRAM FINANCE LIMITED,      1010.35,      1019.70,-0.92
L,AXIS BANK LIMITED,      1266.90,      1274.40,-0.59
L,BAJAJ AUTO LIMITED,      9502.50,      9558.00,-0.58
L,TATA CONSUMER PRODUCT LTD,      1170.70,      1176.90,-0.53
L,BHARTI AIRTEL LIMITED,      2106.30,      2110.40,-0.19
L,EICHER MOTORS LTD,      7334.50,      7348.00,-0.18
L,INTERGLOBE AVIATION LTD,      5106.00,      5110.50,-0.09
L,ULTRATECH CEMENT LIMITED,     11899.00,     11901.00,-0.02
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,BOSCH LIMITED,     39420.00,     36140.00,9.08
G,POWER FIN CORP LTD.,       375.95,       363.15,3.52
G,REC LIMITED,       380.65,       367.70,3.52
G,CHOLAMANDALAM IN & FIN CO,      1781.10,      1724.00,3.31
G,TATA POWER CO LTD,       393.10,       381.85,2.95
G,HINDUSTAN ZINC LIMITED,       628.80,       611.95,2.75
G,VEDANTA LIMITED,       616.95,       602.65,2.37
G,INDIAN RAILWAY FIN CORP L,       128.48,       125.79,2.14
G,GAIL (INDIA) LTD,       175.38,       171.77,2.10
G,INFO EDGE (I) LTD,      1367.70,      1340.90,2.00
G,CG POWER AND IND SOL LTD,       649.10,       637.90,1.76
G,JSW ENERGY LIMITED,       510.65,       502.00,1.72
G,HAVELLS INDIA LIMITED,      1439.90,      1417.50,1.58
G,BANK OF BARODA,       305.05,       300.75,1.43
G,TVS MOTOR COMPANY  LTD,      3847.80,      3794.40,1.41
G,SOLAR INDUSTRIES (I) LTD,     12336.00,     12166.00,1.40
G,THE INDIAN HOTELS CO. LTD,       748.65,       738.60,1.36
G,ADANI GREEN ENERGY LTD,      1038.80,      1025.90,1.26
G,LODHA DEVELOPERS LIMITED,      1085.70,      1072.80,1.20
