SECURITY,NEW,PREVIOUS,NEW_STATUS
ANONDITA MEDICARE LIMITED     ,975.00,952.80,H
ARFIN INDIA LIMITED           ,72.00,71.00,H
BHAGYANAGAR INDIA LIMITED     ,168.92,167.40,H
C P S SHAPERS LIMITED         ,1146.60,1095.00,H
CHOICE INTERNATIONAL LTD      ,845.70,841.00,H
CUBEX TUBINGS LTD             ,143.69,143.25,H
EPW INDIA LIMITED             ,116.55,97.00,H
EXIM ROUTES LIMITED           ,148.30,145.15,H
GUJARAT KIDNEY N SUP SP L     ,123.00,114.00,H
ICICIPRAMC - METALIETF        ,11.11,11.09,H
JAYASWAL NECO INDUSTR LTD     ,93.45,87.72,H
JINDAL STAINLESS LIMITED      ,848.05,848.00,H
MAHAMAYA STEEL INDS LTD       ,969.00,950.00,H
MARUTI SUZUKI INDIA LTD.      ,16818.00,16720.00,H
MEGA FLEX PLASTICS LTD        ,123.60,121.25,H
MIDWEST LIMITED               ,1842.00,1835.00,H
MIRAEAMC - DIVIDEND           ,36.80,36.60,H
MIRAEAMC - MASPTOP50          ,72.48,72.46,H
NEUEON CORPORATION LTD        ,6.98,6.65,H
NORBEN TEA &EXPORTS LTD       ,90.96,86.63,H
SBIAMC - SBILIQETF            ,1030.00,1027.15,H
SHEETAL UNIVERSAL LIMITED     ,165.10,164.00,H
SHREEJI SHIPPING GLOBAL L     ,375.70,354.40,H
SHYAM DHANI INDUSTRIES L      ,139.65,70.00,H
SILVER TOUCH TECHNO LTD       ,1048.80,914.70,H
SUNDREX OIL COMPANY LTD       ,68.80,86.00,H
UTIAMC-SENSEXBETA             ,952.91,952.48,H
VST TILLERS TRACTORS LTD      ,6225.50,6150.00,H
AARTECH SOLONICS LIMITED      ,47.00,47.01,L
AKME FINTRADE (INDIA) LTD     ,6.31,6.48,L
ALLCARGO LOGISTICS LTD        ,10.17,10.41,L
ASPIRE & INNOVATIVE ADV L     ,15.90,16.30,L
ATC ENERGIES SYSTEM LTD       ,34.20,36.60,L
BLUESTONE JEWEL LFSTL LTD     ,466.00,480.00,L
BRIGADE HOTEL VENTURE LTD     ,65.70,67.00,L
CEDAAR TEXTILE LIMITED        ,57.90,59.25,L
DEEPAK BUILDERS & ENG I L     ,114.71,115.91,L
DEV ACCELERATOR LIMITED       ,38.00,39.35,L
DHARAN INFRA-EPC LIMITED      ,0.24,0.25,L
ELLENBARRIE INDUS GASES L     ,332.20,337.75,L
EPW INDIA LIMITED             ,111.00,97.00,L
EXCELSOFT TECHNOLOGIES L      ,81.91,84.01,L
FILATEX FASHIONS LIMITED      ,0.29,0.32,L
GAJANAND INTERNATIONAL L      ,9.50,9.65,L
GROWWAMC - GROWWMETAL         ,10.03,10.04,L
GUJARAT KIDNEY N SUP SP L     ,102.90,114.00,L
HP ADHESIVES LIMITED          ,40.25,41.15,L
INVENTURE GRO & SEC LTD       ,1.15,1.17,L
JARO INS OF TEC MG N RE L     ,463.10,483.25,L
JHS SVENDGAARD RETAIL V L     ,24.10,24.34,L
JINKUSHAL INDUSTRIES LTD      ,83.60,87.50,L
KAYTEX FABRICS LIMITED        ,69.50,70.50,L
KOTAKMAMC - MOMENTUM30        ,30.41,30.55,L
KRISHIVAL FOODS LIMITED       ,20.25,21.30,L
MARC TECHNOCRATS LIMITED      ,60.70,63.85,L
MAXPOSURE LIMITED             ,44.50,44.60,L
MIRAEAMC - TOP20              ,9.58,9.61,L
MRS BECTORS FOOD SPE LTD      ,224.00,228.10,L
NANDAN DENIM LIMITED          ,2.84,2.87,L
NEOCHEM BIO SOLUTIONS LTD     ,85.60,85.70,L
NOVA AGRITECH LIMITED         ,37.59,37.90,L
PACE DIGITEK LIMITED          ,183.30,188.00,L
PATEL RETAIL LIMITED          ,197.30,199.80,L
PAVNA INDUSTRIES LIMITED      ,19.80,23.12,L
R K SWAMY LIMITED             ,107.67,107.90,L
SARASWATI SAREE DEPOT LTD     ,76.00,76.10,L
SATI POLY PLAST LIMITED       ,58.00,59.50,L
SHANKARA BLDG PRODUCT LTD     ,100.01,105.00,L
SHRI KANHA STAINLESS LTD      ,28.90,32.10,L
SHYAM DHANI INDUSTRIES L      ,133.00,70.00,L
STANLEY LIFESTYLES LTD        ,190.10,196.01,L
SUDEEP PHARMA LIMITED         ,601.10,615.05,L
SUNDREX OIL COMPANY LTD       ,65.40,86.00,L
SUYOG TELEMATICS LIMITED      ,571.55,576.70,L
THINKING HATS ENTER SOL L     ,24.65,24.70,L
TIGER LOGISTICS (INDIA) L     ,32.11,34.25,L
VEDANT FASHIONS LIMITED       ,574.85,575.05,L
VISHNU PRAKASH R PUNGLI L     ,52.85,54.15,L
WAKEFIT INNOVATIONS LTD       ,173.81,177.00,L
