Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
02 JAN 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,02 JAN 2026,               5.00,          35286502,            214.30,     7561897378.60 
02 JAN 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,02 JAN 2026,              10.00,          10500000,             49.40,      518595000.00
02 JAN 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,02 JAN 2026,               1.00,         405057728,           1200.10,   486109779372.80    
02 JAN 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,02 JAN 2026,              10.00,         207396267,             16.90,     3504996912.30 
02 JAN 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,02 JAN 2026,              10.00,          11265070,          36170.00,   407457581900.00   
02 JAN 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,02 JAN 2026,               2.00,          18000000,             37.70,      678420000.00    
02 JAN 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,02 JAN 2026,              10.00,          31242338,            367.80,    11490931916.40    
02 JAN 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,02 JAN 2026,               2.00,          46078537,            725.75,    33441498227.75   
02 JAN 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,02 JAN 2026,              10.00,         176119858,             15.55,     2735141394.75  
02 JAN 2026,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,02 JAN 2026,              10.00,          12826800,             96.65,     1239966756.00   
02 JAN 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,02 JAN 2026,              10.00,         433796312,            500.55,   217136743971.60 
02 JAN 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,02 JAN 2026,              10.00,          14172816,             70.10,      993514401.60    
02 JAN 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,02 JAN 2026,               1.00,         101250000,              8.75,      886950000.00    
02 JAN 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,02 JAN 2026,              10.00,          14138000,            122.00,     1724836000.00  
02 JAN 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,02 JAN 2026,              10.00,          28354303,             66.35,     1881024461.00
02 JAN 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,02 JAN 2026,              10.00,          20946478,            176.50,     3697053367.00     
02 JAN 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,02 JAN 2026,               5.00,          31770376,             49.00,     1556113016.50   
02 JAN 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,02 JAN 2026,              10.00,          91270000,            410.95,    37507406500.00
02 JAN 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,02 JAN 2026,               5.00,         362593869,            376.95,   136679758919.55  
02 JAN 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,02 JAN 2026,               5.00,          90647294,            742.10,    67269356877.40
