MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     25942.10,     25940.90,     25976.75,     25878.00,     25938.85,1417953902267.57,5631872489,Y, ,38942416,     26325.80,     21743.65
Y,NIFTY50 EQL Wgt,     33023.20,     33033.85,     33061.55,     32930.20,     33025.05,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 EQL Wgt,     33631.95,     33624.70,     33687.25,     33507.85,     33637.80,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 LowVol30,     20999.60,     20999.15,     21010.45,     20917.65,     20975.95,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY Alpha 50,     50249.65,     50227.80,     50248.70,     49539.90,     49765.40,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY MIDCAP 150,     22100.95,     22090.05,     22100.40,     21990.15,     22061.90,0.00,0,Y, ,0,     22495.40,     17269.50
Y,NIFTY SMLCAP 50,      8545.30,      8538.35,      8543.15,      8450.75,      8515.80,0.00,0,Y, ,0,      9282.70,      6776.05
Y,NIFTY SMLCAP 250,     16525.60,     16509.50,     16526.95,     16410.75,     16491.90,0.00,0,Y, ,0,     18117.40,     13314.70
Y,NIFTY MIDSML 400,     20046.45,     20033.25,     20043.75,     19933.70,     20009.15,0.00,0,Y, ,0,     20668.15,     15832.85
Y,NIFTY200 QUALTY30,     21339.45,     21338.70,     21363.75,     21233.10,     21249.00,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty FinSrv25 50,     29927.35,     29902.00,     30045.20,     29798.70,     29951.50,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY AlphaLowVol,     26887.90,     26885.35,     26925.00,     26694.20,     26827.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200Momentm30,     30998.60,     30981.20,     31034.80,     30656.55,     30847.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100ESGSecLdr,      4324.65,      4323.65,      4331.00,      4314.00,      4323.55,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 ESG,      5144.05,      5142.15,      5152.20,      5128.10,      5144.35,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY M150 QLTY50,     23946.00,     23932.10,     23939.45,     23708.70,     23745.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY INDIA MFG,     15176.05,     15189.05,     15243.50,     15131.10,     15219.30,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Alpha 30,     24781.75,     24768.15,     24784.10,     24550.55,     24679.10,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyM150Momntm50,     62073.05,     62048.75,     62078.40,     61157.65,     61333.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty50 USD,      9989.80,      9989.80,     10027.40,      9825.50,     10011.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty IT,     38282.70,     38281.55,     38281.55,     37906.60,     37998.60,0.00,0,Y, ,0,     44798.65,     30918.95
Y,Nifty Next 50,     68638.75,     68597.40,     68814.90,     68324.30,     68667.75,0.00,0,Y, ,0,     70551.15,     56192.45
Y,Nifty Bank,     58932.35,     58885.95,     59272.70,     58737.60,     59171.25,0.00,0,Y, ,0,     60114.30,     47702.90
Y,NIFTY MIDCAP 100,     60001.30,     59980.35,     60046.85,     59733.75,     59914.25,0.00,0,Y, ,0,     61311.25,     46865.70
Y,Nifty 500,     23682.10,     23675.30,     23704.20,     23599.90,     23668.80,0.00,0,Y, ,0,     24035.00,     19519.85
Y,Nifty 100,     26483.45,     26479.85,     26522.40,     26411.50,     26482.55,0.00,0,Y, ,0,     26859.50,     22177.35
Y,Nifty Midcap 50,     17096.90,     17092.05,     17112.30,     17018.70,     17059.00,0.00,0,Y, ,0,     17498.55,     13269.65
Y,Nifty Realty,       877.20,       876.05,       876.15,       865.70,       869.80,0.00,0,Y, ,0,      1057.65,       765.80
Y,Nifty Infra,      9518.55,      9515.05,      9540.65,      9489.10,      9505.65,0.00,0,Y, ,0,      9729.85,      7589.95
Y,Nifty Energy,     34868.75,     34872.80,     34911.30,     34702.00,     34813.90,0.00,0,Y, ,0,     36938.90,     29313.20
Y,Nifty FMCG,     55192.45,     55231.35,     55246.95,     54918.55,     55033.15,0.00,0,Y, ,0,     59302.55,     50199.35
Y,Nifty MNC,     30319.45,     30337.35,     30413.40,     30173.95,     30341.55,0.00,0,Y, ,0,     30697.55,     23981.05
Y,Nifty Pharma,     22578.30,     22604.50,     22615.95,     22395.15,     22540.05,0.00,0,Y, ,0,     23604.45,     19121.10
Y,Nifty PSE,      9706.15,      9712.40,      9717.10,      9649.50,      9682.00,0.00,0,Y, ,0,     10225.55,      7956.45
Y,Nifty PSU Bank,      8291.45,      8275.65,      8449.90,      8230.80,      8431.50,0.00,0,Y, ,0,      8665.70,      5530.35
Y,Nifty Serv Sector,     33569.85,     33546.55,     33588.70,     33426.00,     33512.85,0.00,0,Y, ,0,     34216.65,     29070.85
Y,Nifty Auto,     27592.50,     27595.05,     27991.80,     27516.85,     27889.65,0.00,0,Y, ,0,     28099.65,     19316.65
Y,Nifty Metal,     10789.10,     10797.00,     11029.65,     10755.30,     11007.65,0.00,0,Y, ,0,     11029.65,      7690.20
Y,Nifty Media,      1424.05,      1422.80,      1431.30,      1413.65,      1423.40,0.00,0,Y, ,0,      1878.15,      1344.40
Y,NIFTY SMLCAP 100,     17567.70,     17553.80,     17570.60,     17407.00,     17518.95,0.00,0,Y, ,0,     19224.95,     14084.30
Y,Nifty 200,     14420.65,     14418.15,     14438.80,     14377.85,     14416.45,0.00,0,Y, ,0,     14642.65,     11941.45
Y,Nifty Div Opps 50,      6333.60,      6333.90,      6352.15,      6317.50,      6339.45,0.00,0,Y, ,0,      6425.60,      5288.60
Y,Nifty Commodities,      9318.75,      9325.85,      9373.55,      9297.85,      9364.30,0.00,0,Y, ,0,      9530.35,      7502.95
Y,Nifty Consumption,     12183.40,     12182.10,     12220.10,     12135.65,     12182.15,0.00,0,Y, ,0,     12716.20,     10090.65
Y,Nifty Fin Service,     27363.50,     27338.30,     27463.05,     27248.50,     27382.80,0.00,0,Y, ,0,     28065.50,     22320.85
Y,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Liq 15,      7465.50,      7463.95,      7489.95,      7448.90,      7477.65,0.00,0,Y, ,0,      7617.60,      5985.30
Y,Nifty CPSE,      6279.80,      6283.70,      6286.05,      6246.05,      6275.45,0.00,0,Y, ,0,      6681.80,      5284.25
Y,Nifty GrowSect 15,     12411.25,     12415.85,     12450.85,     12375.45,     12425.70,0.00,0,Y, ,0,     12607.95,      9722.65
Y,Nifty50 PR 2x Lev,     14495.15,     14491.70,     14531.75,     14421.45,     14489.45,0.00,0,Y, ,0,     14993.40,     10678.25
Y,Nifty50 PR 1x Inv,       201.40,       201.45,       201.95,       201.20,       201.45,0.00,0,Y, ,0,       232.40,       197.80
Y,Nifty50 TR 2x Lev,     21689.95,     21684.80,     21744.75,     21579.65,     21681.40,0.00,0,Y, ,0,     22435.45,     15663.75
Y,Nifty50 TR 1x Inv,       164.80,       164.85,       165.25,       164.60,       164.85,0.00,0,Y, ,0,       192.05,       161.80
Y,Nifty50 Value 20,     13206.45,     13209.35,     13244.50,     13173.65,     13204.50,0.00,0,Y, ,0,     13701.45,     11375.50
Y,Nifty Mid Liq 15,     15914.60,     15913.00,     15913.65,     15789.95,     15828.35,0.00,0,Y, ,0,     16755.80,     11541.70
Y,Nifty Pvt Bank,     28352.30,     28355.75,     28482.40,     28286.50,     28433.15,0.00,0,Y, ,0,     28960.60,     23508.05
Y,NIFTY100 Qualty30,      5836.20,      5838.55,      5845.45,      5816.55,      5828.05,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 8 13Yr,      2969.34,      2969.34,      2970.45,      2966.84,      2968.91,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 10Yr,      2615.23,      2615.23,      2616.83,      2612.68,      2615.28,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 10Yr Cln,       892.76,       892.76,       893.32,       891.88,       892.78,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 4 8Yr,      3222.89,      3222.89,      3222.90,      3219.72,      3221.64,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 11 15Yr,      3237.10,      3237.10,      3239.34,      3236.74,      3238.58,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 15YrPlus,      3482.26,      3482.26,      3482.71,      3480.12,      3481.86,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS Compsite,      3051.64,      3051.64,      3051.85,      3049.28,      3050.82,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY HEALTHCARE,     14607.90,     14623.05,     14626.70,     14452.55,     14541.85,0.00,0,Y, ,0,     15112.50,      6482.80
Y,NIFTY CONSR DURBL,     36487.40,     36469.50,     36482.40,     36145.70,     36192.75,0.00,0,Y, ,0,     44426.55,     14089.55
Y,NIFTY OIL AND GAS,     11951.45,     11966.60,     12012.10,     11902.10,     11914.75,0.00,0,Y, ,0,     13607.20,      4632.70
Y,NIFTY500 MULTICAP,     16349.45,     16342.45,     16359.40,     16280.65,     16333.85,0.00,0,Y, ,0,     17112.15,      5531.55
Y,NIFTY LARGEMID250,     16723.40,     16718.10,     16732.65,     16659.90,     16708.30,0.00,0,Y, ,0,     17095.20,      5635.20
Y,NIFTY MID SELECT,     13651.45,     13649.40,     13664.55,     13579.30,     13601.40,0.00,0,Y, ,0,     14118.40,      5520.25
Y,NIFTY TOTAL MKT,     13284.90,     13281.20,     13296.80,     13238.80,     13277.40,0.00,0,Y, ,0,     13842.60,      6252.10
Y,NIFTY MICROCAP250,     22245.85,     22244.75,     22274.20,     22133.20,     22232.25,0.00,0,Y, ,0,     26476.90,      5802.95
Y,NIFTY IND DIGITAL,      9538.55,      9528.55,      9530.15,      9442.65,      9465.95,0.00,0,Y, ,0,     10152.15,      4755.25
Y,Nifty Tata 25 Cap,     15164.05,     15172.80,     15195.55,     15093.10,     15145.75,0.00,0,Y, ,0,     18764.95,      9887.45
Y,Nifty MidSml Hlth,     43513.55,     43537.75,     43546.15,     43101.20,     43282.35,0.00,0,Y, ,0,     46103.35,     20019.15
Y,Nifty Multi Mfg,     15725.90,     15736.90,     15792.05,     15684.10,     15762.60,0.00,0,Y, ,0,     16253.65,      8394.35
Y,Nifty Multi Infra,     14337.50,     14334.75,     14353.90,     14280.95,     14311.60,0.00,0,Y, ,0,     15154.10,      8010.10
Y,BHARATBOND-APR30,      1566.49,      1566.80,      1566.80,      1566.61,      1566.61,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR31,      1425.66,      1425.92,      1425.93,      1425.92,      1425.92,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR32,      1298.10,      1298.34,      1298.34,      1298.34,      1298.34,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR33,      1260.84,      1261.08,      1261.08,      1261.07,      1261.07,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Ind Defence,      7728.20,      7745.25,      7748.65,      7601.20,      7644.35,0.00,0,Y, ,0,      9195.15,      3374.95
Y,Nifty Ind Tourism,      8593.35,      8578.95,      8579.10,      8484.85,      8520.25,0.00,0,Y, ,0,      9497.20,      6058.05
Y,Nifty Capital Mkt,      4634.65,      4624.70,      4634.20,      4583.85,      4595.85,0.00,0,Y, ,0,      4852.85,      2009.60
Y,Nifty500Momentm50,     52870.40,     52821.50,     52858.75,     51920.50,     52250.85,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyMS400 MQ 100,     47611.20,     47609.90,     47616.50,     46960.50,     47083.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftySml250MQ 100,     44105.90,     44064.10,     44079.65,     43548.60,     43636.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 10 EW,      9987.65,      9988.20,     10012.10,      9965.00,      9982.30,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty AQL 30,     22697.75,     22705.85,     22715.30,     22583.70,     22641.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty AQLV 30,     21352.85,     21363.45,     21388.90,     21262.45,     21292.55,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty EV,      3113.70,      3110.85,      3126.45,      3103.75,      3118.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty HighBeta 50,      3912.65,      3911.10,      3923.55,      3895.10,      3916.90,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty New Consump,     11804.60,     11795.35,     11804.50,     11734.65,     11766.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Corp MAATR,     38542.85,     38557.70,     38766.70,     38476.60,     38726.90,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Low Vol 50,     25501.75,     25509.00,     25534.40,     25385.70,     25469.70,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Mobility,     22800.95,     22795.60,     22925.85,     22719.65,     22873.55,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Qlty LV 30,     17571.40,     17575.05,     17587.45,     17492.80,     17531.80,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Sml250 Q50,     25467.05,     25439.40,     25450.05,     25174.90,     25248.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 15 EW,     10966.80,     10963.85,     11002.60,     10940.90,     10980.75,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Alpha 30,     17968.50,     17973.35,     17982.25,     17821.90,     17906.70,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Enh ESG,      5189.70,      5187.80,      5198.40,      5173.50,      5190.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Value 30,     14362.65,     14369.00,     14508.45,     14333.25,     14474.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 EW,     14129.10,     14119.90,     14127.15,     14049.90,     14105.20,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Multi MQ 50,     41271.90,     41302.95,     41310.25,     40676.20,     40757.05,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 Value 50,     15197.60,     15197.65,     15338.80,     15160.45,     15304.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 20 EW,      9620.10,      9619.10,      9640.30,      9589.35,      9618.00,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty CoreHousing,     15497.95,     15494.65,     15494.65,     15355.15,     15375.40,0.00,0,Y, ,0,     17961.70,     13680.90
Y,Nifty FinSerExBnk,     31759.15,     31700.75,     31785.05,     31520.95,     31674.05,0.00,0,Y, ,0,     32526.40,     21702.40
Y,Nifty Housing,     11616.00,     11615.80,     11652.30,     11570.90,     11642.90,0.00,0,Y, ,0,     12386.30,      9839.70
Y,Nifty IPO,      2040.95,      2039.45,      2043.50,      2026.30,      2039.50,0.00,0,Y, ,0,      2387.55,      1617.15
Y,Nifty MS Fin Serv,     20507.25,     20475.40,     20550.25,     20406.20,     20498.25,0.00,0,Y, ,0,     21028.05,     12407.95
Y,Nifty MS Ind Cons,     18834.50,     18822.95,     18827.45,     18690.30,     18768.60,0.00,0,Y, ,0,     20923.30,     14493.40
Y,Nifty MS IT Telcm,     10226.75,     10212.65,     10215.60,     10106.00,     10132.75,0.00,0,Y, ,0,     11723.20,      7836.00
Y,Nifty NonCyc Cons,     15952.30,     15949.40,     15952.15,     15852.45,     15865.85,0.00,0,Y, ,0,     18289.65,     13081.55
Y,Nifty Rural,     15995.10,     15985.70,     16065.50,     15951.70,     16042.65,0.00,0,Y, ,0,     16370.10,     12304.35
Y,Nifty Shariah 25,      8372.10,      8375.50,      8375.50,      8329.50,      8342.30,0.00,0,Y, ,0,      9449.55,      7121.55
Y,Nifty Trans Logis,     25491.65,     25476.60,     25649.30,     25377.05,     25595.75,0.00,0,Y, ,0,     26459.70,     16828.35
Y,Nifty50 Shariah,      4824.25,      4829.35,      4829.35,      4796.10,      4800.05,0.00,0,Y, ,0,      5677.90,      4235.90
Y,Nifty500 LMS Eql,     17935.20,     17925.75,     17941.50,     17850.00,     17912.50,0.00,0,Y, ,0,     18838.10,     14014.40
Y,Nifty500 Shariah,      7138.55,      7140.75,      7140.80,      7102.10,      7110.05,0.00,0,Y, ,0,      8238.85,      6004.55
Y,Nifty500 Qlty50,     18823.75,     18818.40,     18822.85,     18632.50,     18677.50,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 LowVol50,     22886.55,     22875.60,     22946.75,     22772.55,     22892.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 MQVLv50,     31532.90,     31513.90,     31532.35,     31226.80,     31342.50,0.00,0,Y, ,0,         0.00,         0.00
