MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         9.60,         9.15,         9.40,         9.15,         9.40,                   148400.00,16000, ,         9.60,         6.80
N,SM,AGUL,A G UNIVERSAL LIMITED,        63.95,        67.00,        67.10,        67.00,        67.10,                   402400.00,6000, ,        70.50,        37.30
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       118.10,       113.00,       114.10,       113.00,       114.10,                   679980.00,6000, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        24.25,        24.40,        24.95,        24.40,        24.40,                   446300.00,18000, ,        26.00,        14.50
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        37.25,        36.40,        36.95,        36.00,        36.95,                   233280.00,6400, ,        55.25,        26.45
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       191.30,       192.90,       198.50,       192.25,       192.90,                  4176400.00,21500, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       343.00,       341.30,       345.00,       337.00,       341.00,                  3067850.00,9000, ,       362.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        88.00,        88.00,        88.00,        87.00,        87.00,                   524460.00,6000, ,       102.50,        53.80
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,       121.10,       121.20,       121.20,       121.00,       121.00,                   121100.00,1000, ,       370.00,       104.20
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        25.65,        25.00,        26.00,        24.60,        26.00,                   203200.00,8000, ,        50.20,        23.65
N,SM,AERON,AERON COMPOSITE LIMITED,        99.05,        99.00,        99.60,        98.00,        99.60,                  1188800.00,12000, ,       202.20,        89.05
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        87.05,        86.00,        87.85,        85.30,        86.95,                  1911300.00,22000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        38.10,        38.10,        38.10,        38.10,        38.10,                    57150.00,1500, ,        73.00,        38.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       117.55,       117.05,       117.05,       113.10,       113.10,                  3602760.00,31200, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        22.75,        23.05,        23.20,        23.05,        23.15,                   289250.00,12500, ,        43.35,        17.90
N,ST,AIMTRON,AIMTRON ELECTRONICS LTD,       793.55,       793.65,       807.00,       790.00,       792.30,                 14212500.00,17800, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        68.00,        68.05,        70.00,        68.00,        68.00,                   276000.00,4000, ,       165.00,        67.05
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       265.00,       258.95,       262.50,       252.50,       257.00,                  2463560.00,9600, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        92.65,        92.65,        92.65,        92.20,        92.20,                   115531.25,1250, ,       248.00,        90.60
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       211.70,       211.50,       216.95,       210.25,       214.70,                  6407220.00,30000, ,       538.80,       200.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       782.10,       803.40,       818.00,       785.00,       813.10,                 27182840.00,33800, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        67.00,        63.55,        67.00,        63.55,        67.00,                   296325.00,4500, ,        95.80,        48.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        44.35,        43.00,        43.00,        43.00,        43.00,                   516000.00,12000, ,        71.80,        31.05
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        86.55,        71.50,        83.95,        71.50,        83.95,                   248720.00,3200, ,       110.00,        54.00
N,ST,AMCL,ANB METAL CAST LIMITED,       353.00,       355.10,       355.10,       345.10,       347.50,                  1966160.00,5600, ,       385.00,       161.70
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       392.10,       405.00,       410.40,       405.00,       410.40,                   978760.00,2400, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       190.00,       193.25,       203.40,       192.00,       193.70,                 29710437.50,152250, ,       441.00,       180.00
N,ST,ANONDITA,ANONDITA MEDICARE LIMITED,       942.35,       911.00,       975.00,       911.00,       968.75,                  8488050.00,9000, ,       975.00,       261.75
N,SM,APEXECO,APEX ECOTECH LIMITED,       126.00,       126.00,       128.00,       126.00,       128.00,                   612640.00,4800, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       321.00,       317.95,       317.95,       310.50,       312.65,                  2192525.00,7000, ,       360.00,        86.50
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        73.00,        71.60,        71.60,        71.05,        71.05,                   285300.00,4000, ,        92.95,        63.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        65.10,        67.00,        67.00,        65.10,        66.60,                   265700.00,4000, ,       145.00,        63.00
N,ST,ARHAM,ARHAM TECHNOLOGIES LTD,       152.15,       153.30,       157.00,       148.50,       152.05,                  2007150.00,13000, ,       161.00,        70.80
N,ST,ARIHANTACA,ARIHANT ACADEMY LIMITED,       490.00,       500.00,       500.00,       498.95,       498.95,                   399580.00,800, ,       540.00,       200.00
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        20.70,        20.15,        20.15,        20.05,        20.05,                   160700.00,8000, ,        46.50,        17.50
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        40.65,        40.65,        40.65,        40.65,        40.65,                   121950.00,3000, ,        92.25,        40.05
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       124.00,       124.10,       124.10,       124.10,       124.10,                    62050.00,500, ,       125.00,        76.55
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        70.90,        67.90,        67.90,        67.90,        67.90,                    67900.00,1000, ,       102.95,        60.00
