SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
ITC LTD,       363.85,       350.05,118790358,              41530103424.05
HINDUSTAN COPPER LTD,       522.65,       541.90,42252954,              22654068364.10
ORIENT TECHNOLOGIES LTD,       433.70,       447.60,40741166,              18930697098.10
VODAFONE IDEA LIMITED,        11.60,        11.78,1446422980,              17113590785.95
IDBI BANK LIMITED,       103.76,       114.73,135110622,              15146895720.07
COAL INDIA LTD,       400.45,       427.90,35090129,              14760225043.85
NIPPONAMC - NETFSILVER,       214.95,       221.87,63378048,              14000425810.28
GODFREY PHILLIPS INDIA LT,      2290.50,      2249.30,5805144,              13108733470.10
TRANS & RECTI. LTD,       307.90,       336.40,39183009,              13044177959.60
NIP IND ETF LIQUID BEES,      1000.00,      1000.00,12254248,              12254327296.97
HDFC BANK LTD,       991.15,      1001.60,11751459,              11733333129.85
OLA ELECTRIC MOBILITY LTD,        37.52,        40.89,285226155,              11429579356.30
ICICI BANK LTD.,      1338.00,      1355.40,8226205,              11096863710.80
CUPID LIMITED,       524.90,       419.95,22326875,              10571580454.70
RELIANCE INDUSTRIES LTD,      1575.60,      1592.30,6602230,              10491999169.40
KIRI INDUSTRIES LIMITED,       682.35,       616.00,15987323,              10125617114.05
DIXON TECHNO (INDIA) LTD,     12091.00,     12165.00,809776,               9830820939.00
REC LIMITED,       367.70,       380.65,24228761,               9207549444.65
JBM AUTO LIMITED,       625.65,       666.60,13084529,               8708663380.25
NTPC LTD,       336.30,       352.10,23128940,               8029915296.50
MULTI COMMODITY EXCHANGE,     10989.00,      2216.00,3418580,               7621454246.00
POWER FIN CORP LTD.,       363.15,       375.95,19990998,               7488316160.30
AXIS BANK LIMITED,      1274.40,      1266.90,5860547,               7452538393.90
STATE BANK OF INDIA,       984.75,       998.95,7357435,               7308398803.40
BOSCH LIMITED,     36140.00,     39420.00,185984,               7211401195.00
